archive,archive_bytes,archive_format,archive_sha256,entry_count,car_id,display_name,brand,year,class,car_root,bank_role,bank_path,bank_bytes,bank_sha256,guids_path,ui_path,physics_source,physics_path,ext_config_path,target_event_count,event_profile,duplicate_bank_group,notes
"Ferrari 458 Italia Tune.rar",77774380,"RAR5","65f694d942f3cfad45cb851f798ff8439bfca81d6e9e0668a25fd221a71ae0bb",283,"ms_ferrari_458","Ferrari 458 Italia Tune","Ferrari",2011,"street","ms_ferrari_458","active","ms_ferrari_458/sfx/ms_ferrari_458.bank",73852320,"b9c5bdf4d7382c52469f2b67bfedf0629966889c1bb59c101a64955459ea39d3","ms_ferrari_458/sfx/GUIDs.txt","ms_ferrari_458/ui/ui_car.json","acd","ms_ferrari_458/data.acd","ms_ferrari_458/extension/ext_config.ini",19,"standard-19","","Nested support archive: ms_ferrari_458/ui/cm_paintshop.zip"
"Ferrari F1 2000.zip",126598617,"ZIP","b143b870d85ca1e6558c5568800afe2e2eac9d0d4c9a9a39443c53cd09136842",152,"ferrari_f2000","Ferrari F1 2000","Ferrari",2000,"race","Ferrari F1 2000/content/cars/ferrari_f2000","active","Ferrari F1 2000/content/cars/ferrari_f2000/sfx/ferrari_f2000.bank",26155680,"d44caa47a84cc8b88c68555090a42584c53b392e65a9d69abb07d641961ff5a9","Ferrari F1 2000/content/cars/ferrari_f2000/sfx/GUIDs.txt","Ferrari F1 2000/content/cars/ferrari_f2000/ui/ui_car.json","acd","Ferrari F1 2000/content/cars/ferrari_f2000/data.acd","",19,"standard-19","",""
"Mercedes-Benz AMG GT3 EVO 2020 Sprint.7z",254765100,"7Z","88445250cedda2f3413400eeee8b4889e23a15c630e943ca0b728b8547007758",396,"bm_amg_evo_gt3_2020","Mercedes-Benz AMG GT3 EVO 2020","Mercedes-Benz",2020,"race","bm_amg_evo_gt3_2020","active","bm_amg_evo_gt3_2020/sfx/bm_amg_evo_gt3_2020.bank",19612064,"066361c1719f9964209f22855ef6f77209f5189c62f127fdc0e0414be04578dd","bm_amg_evo_gt3_2020/sfx/GUIDs.txt","bm_amg_evo_gt3_2020/ui/ui_car.json","acd","bm_amg_evo_gt3_2020/data.acd","bm_amg_evo_gt3_2020/extension/ext_config.ini",15,"missing:limiter|gear_grind|horn|turbo","mercedes-amg-evo-2020","GUIDs also contain mercedes_sls_gt3 namespace; nested extension/lumirank_font.zip"
"Mercedes-Benz AMG GT3 EVO 2020 Sprint.7z",254765100,"7Z","88445250cedda2f3413400eeee8b4889e23a15c630e943ca0b728b8547007758",396,"bm_amg_evo_gt3_2020_sprint","Mercedes-Benz AMG GT3 EVO 2020 Sprint","Mercedes-Benz",2020,"race","bm_amg_evo_gt3_2020_sprint","active","bm_amg_evo_gt3_2020_sprint/sfx/bm_amg_evo_gt3_2020_sprint.bank",19612064,"066361c1719f9964209f22855ef6f77209f5189c62f127fdc0e0414be04578dd","bm_amg_evo_gt3_2020_sprint/sfx/GUIDs.txt","bm_amg_evo_gt3_2020_sprint/ui/ui_car.json","acd","bm_amg_evo_gt3_2020_sprint/data.acd","bm_amg_evo_gt3_2020_sprint/extension/ext_config.ini",15,"missing:limiter|gear_grind|horn|turbo","mercedes-amg-evo-2020","GUIDs also contain mercedes_sls_gt3 namespace; nested extension/lumirank_font.zip"
"asw-2018-ferrari-488-gte-evo-michelotto-1.zip",151011551,"ZIP","c213ac41529b11f91c681392569967ff5901792711e18be7973fbd8f0401683c",453,"yzd_ferrari_488_gte_evo_2018","2018 Ferrari 488 GTE Evo [Michelotto]","Ferrari",2018,"GTE","yzd_ferrari_488_gte_evo_2018","active","yzd_ferrari_488_gte_evo_2018/sfx/yzd_ferrari_488_gte_evo_2018.bank",74650752,"7571540fec2fecb066f8f8e4f47b6f18768dde57052dd9e3d73bc121a5bad6e3","yzd_ferrari_488_gte_evo_2018/sfx/GUIDs.txt","yzd_ferrari_488_gte_evo_2018/ui/ui_car.json","acd","yzd_ferrari_488_gte_evo_2018/data.acd","yzd_ferrari_488_gte_evo_2018/extension/ext_config.ini",19,"standard-19","",""
"asw-a5-porsche-carrera-gt-rs.zip",207467051,"ZIP","8520987798576b3cebe61cc646baf19df2f41b9d9080b80aa8de8ef40ab5ac09",286,"porsche_carrera_gt_rs","- a5 Porsche Carrera GT RS","Porsche",2005,"street/trackday","porsche_carrera_gt_rs","active","porsche_carrera_gt_rs/sfx/porsche_carrera_gt_rs.bank",190259840,"d06ef6b1e84cb6c53afb009499c6d48ae88b0bab8deb9774fbc25ed9c2149bf0","porsche_carrera_gt_rs/sfx/GUIDs.txt","porsche_carrera_gt_rs/ui/ui_car.json","loose","porsche_carrera_gt_rs/data","",19,"standard-19","","GUIDs contain 14 car namespaces; filter to porsche_carrera_gt_rs"
"asw-aston-martin-dbrs9-gt3-4.zip",62376133,"ZIP","60e37274b25cf3b6aedf5ef9a745fd3bb5177d2c9da627d484fecae2b75b486f",170,"astonm_dbrs9_gt3","Aston Martin DBRS9 GT3","Aston Martin",2005,"gt","astonm_dbrs9_gt3","active","astonm_dbrs9_gt3/sfx/astonm_dbrs9_gt3.bank",36193280,"bfe70e701a59ad2dc2eb275c777312a16b393b92aebd3f14497881baeab23bce","astonm_dbrs9_gt3/sfx/GUIDs.txt","astonm_dbrs9_gt3/ui/ui_car.json","loose","astonm_dbrs9_gt3/data","",17,"missing:horn|turbo","","GUIDs contain 69 car namespaces; filter to astonm_dbrs9_gt3"
"asw-audi-r8-lms-gt2-4.zip",165455716,"ZIP","e8a20d58cddbe1ce3aeae844f1296486b4ce5d72059d2ee348947b4953afd1f4",233,"gue_audi_r8_lms_gt2","Audi R8 LMS GT2","Audi",2019,"race","gue_audi_r8_lms_gt2","active","gue_audi_r8_lms_gt2/sfx/gue_audi_r8_lms_gt2.bank",36189152,"2ce35efe5fd1dfdb639107a7747884abcc58973ed28f9b95e401c1c926104d81","gue_audi_r8_lms_gt2/sfx/GUIDs.txt","gue_audi_r8_lms_gt2/ui/ui_car.json","acd","gue_audi_r8_lms_gt2/data.acd","gue_audi_r8_lms_gt2/extension/ext_config.ini",19,"standard-19","","GUIDs contain 21 car namespaces including a stray gue_audi_r8_lms_gt2 (2); filter exact namespace"
"asw-audi-tt-cup-2015-1.zip",123459858,"ZIP","2e25b049fee81a6447263f2c1539570e0efe990da32c12702f29f97afeba7a57",165,"audi_tt_cup_2015","Audi TT Cup 2015","Audi",2015,"race","audi_tt_cup_2015","active","audi_tt_cup_2015/sfx/audi_tt_cup_2015.bank",44831040,"3adcc79053d7d1e0c6568c22e711da7869e9241f3e769f2d2d964338d06f924c","audi_tt_cup_2015/sfx/GUIDs.txt","audi_tt_cup_2015/ui/ui_car.json","acd","audi_tt_cup_2015/data.acd","",17,"missing:gear_grind|horn","",""
"asw-bmw-m8-gtlm.7z",44780181,"7Z","2dbf8403e1441fd5327a6d7e30ccd5a4662caea30a116179c33d2fcdfc58481f",91,"rollovers_m8_gte_imsa","BMW M8 GTLM","American Endurance Pack","","race","rollovers_m8_gte_imsa/content/cars/rollovers_m8_gte_imsa","active","rollovers_m8_gte_imsa/content/cars/rollovers_m8_gte_imsa/sfx/rollovers_m8_gte_imsa.bank",50653248,"f35a881836a168c785e44c57426f5ec5da62b14c8ff9e9096e6ca75e9f2f20d2","rollovers_m8_gte_imsa/content/cars/rollovers_m8_gte_imsa/sfx/GUIDs.txt","rollovers_m8_gte_imsa/content/cars/rollovers_m8_gte_imsa/ui/ui_car.json","acd","rollovers_m8_gte_imsa/content/cars/rollovers_m8_gte_imsa/data.acd","",19,"standard-19","","Archive has an extra wrapper before content/cars"
